rank,priority,code,name,price,priceAsOf,priceAge,buyLine,targetPrice,buyRatio,upside,reason,nextAction
1,109,6513,オリジン,1280,2026-06-19,8,1260,4480,1.02,250,株価が8日前 / 買い場に近い / バックテスト良好 / ネット現金厚め,最新株価を確認して price-updates.csv に追加
2,109,1443,技研HD,210,2026-06-19,8,202.5,510,1.04,142.86,株価が8日前 / 買い場に近い / バックテスト良好 / ネット現金厚め,最新株価を確認して price-updates.csv に追加
3,98,2484,出前館,132,2026-06-19,8,131.6,338.4,1,156.36,株価が8日前 / 買い場に近い / ネット現金厚め,最新株価を確認して price-updates.csv に追加
4,98,1897,金下建設,2820,2026-06-19,8,3120,7700,0.9,173.05,株価が8日前 / 買い場に近い / ネット現金厚め,最新株価を確認して price-updates.csv に追加
5,74,6276,"SiriusVision CO.,LTD.",300,,,284.95,2677.92,1.05,792.64,株価日付なし / 買いライン接近 / バックテスト良好 / ネット現金厚め,最新株価を確認して price-updates.csv に追加
6,61,3892,岡山製紙,1380,2026-06-19,8,1085,2480,1.27,79.71,株価が8日前 / バックテスト良好 / ネット現金厚め,最新株価を確認して price-updates.csv に追加
7,59,9672,東京都競馬,5920,2026-06-19,8,3459.5,5760,1.71,-2.7,株価が8日前 / 売り判断に影響,最新株価を確認して price-updates.csv に追加
8,59,9402,中部日本放送,780,2026-06-19,8,595,1898,1.31,143.33,株価が8日前 / バックテスト良好 / ネット現金厚め,最新株価を確認して price-updates.csv に追加
9,56,6505,東洋電機製造,1210,2026-06-19,8,1010,2675.4,1.2,121.11,株価が8日前 / バックテスト良好 / ネット現金厚め,最新株価を確認して price-updates.csv に追加
10,56,8018,三共生興,820,2026-06-19,8,639,1296,1.28,58.05,株価が8日前 / バックテスト良好 / ネット現金厚め,最新株価を確認して price-updates.csv に追加
11,50,8802,三菱地所,4010,2026-06-19,8,3049.5,5290,1.31,31.92,株価が8日前 / バックテスト良好,最新株価を確認して price-updates.csv に追加
12,49,3765,ガンホー,2600,2026-06-19,8,1920,3637.5,1.35,39.9,株価が8日前 / ネット現金厚め,最新株価を確認して price-updates.csv に追加
13,40,9830,トラスコ中山,2500,2026-06-19,8,1560,3128,1.6,25.12,株価が8日前,最新株価を確認して price-updates.csv に追加
14,40,9409,テレビ朝日HD,2450,2026-06-19,8,1600,3528,1.53,44,株価が8日前,最新株価を確認して price-updates.csv に追加
15,40,3908,コラボス,319,,,107.4,527.09,2.97,65.23,株価日付なし / ネット現金厚め,最新株価を確認して price-updates.csv に追加
16,39,8841,テーオーシー,842,2026-06-19,8,528,1087.75,1.59,29.19,株価が8日前,最新株価を確認して price-updates.csv に追加
17,39,3123,サイボー,618,2026-06-19,8,330,1040,1.87,68.28,株価が8日前,最新株価を確認して price-updates.csv に追加
18,38,8830,住友不動産,6200,2026-06-19,8,3600,7200,1.72,16.13,株価が8日前,最新株価を確認して price-updates.csv に追加
19,38,8801,三井不動産,1640,2026-06-19,8,943.5,2185,1.74,33.23,株価が8日前,最新株価を確認して price-updates.csv に追加
20,38,3471,三井不動産ロジスティクスパーク投資法人,455000,2026-06-19,8,270000,456250,1.69,0.27,株価が8日前,最新株価を確認して price-updates.csv に追加
21,38,9324,安田倉庫,1450,2026-06-19,8,840,2583,1.73,78.14,株価が8日前,最新株価を確認して price-updates.csv に追加
22,38,8818,京阪神ビルディング,1780,2026-06-19,8,990,2612.5,1.8,46.77,株価が8日前,最新株価を確認して price-updates.csv に追加
23,36,7435,"NADEX CO.,LTD.",1240,,,811.2,3880.36,1.53,212.93,株価日付なし / ネット現金厚め,最新株価を確認して price-updates.csv に追加
24,36,1514,"Sumiseki Holdings,Inc.",532,,,267.5,877.09,1.99,64.87,株価日付なし / ネット現金厚め,最新株価を確認して price-updates.csv に追加
25,36,7885,"TAKANO Co.,Ltd.",1013,,,479.6,3844.62,2.11,279.53,株価日付なし / ネット現金厚め,最新株価を確認して price-updates.csv に追加
26,34,2332,"Quest Co.,Ltd.",1719,,,1091.06,4007.04,1.58,133.1,株価日付なし / ネット現金厚め,最新株価を確認して price-updates.csv に追加
27,33,7567,SAKAE ELECTRONICS CORPORATION,547,,,256,1451.47,2.14,165.35,株価日付なし,最新株価を確認して price-updates.csv に追加
28,33,7901,MATSUMOTO INC.,770,,,660.14,3286.08,1.17,326.76,株価日付なし,最新株価を確認して price-updates.csv に追加
29,33,6870,"Fenwal Controls of Japan,Ltd.",2493,,,1569.3,4835.88,1.59,93.98,株価日付なし,最新株価を確認して price-updates.csv に追加
30,33,2303,Dawn Corporation,1237,,,797.36,3846.96,1.55,210.99,株価日付なし,最新株価を確認して price-updates.csv に追加
31,32,5939,"OTANI KOGYO CO.,LTD.",5000,,,3337.4,10181.18,1.5,103.62,株価日付なし,最新株価を確認して price-updates.csv に追加
