code,price,asOf
8841,972,2026-06-26
6505,1955,2026-06-26
3123,605,2026-06-26
3765,2190,2026-06-26
8802,4101,2026-06-26
2484,116,2026-06-26
1897,3075,2026-06-26
9672,4875,2026-06-26
8830,3572,2026-06-26
8801,1480,2026-06-26
9830,2248,2026-06-26
3471,108600,2026-06-26
8018,786,2026-06-26
6513,1075,2026-06-26
1443,244,2026-06-26
9409,3105,2026-06-26
9402,780,2026-06-19
9324,2365,2026-06-26
8818,1071,2026-06-26
3892,1620,2026-06-26
6276,307,2026-06-26
7435,1292,2026-06-26
7567,523,2026-06-26
1514,520,2026-06-26
7885,1057,2026-06-26
7901,760,2026-06-26
6870,2540,2026-06-26
5939,4970,2026-06-26
2303,1221,2026-06-26
2332,1744,2026-06-26
3908,319,2026-06-26
6497,1334,2026-06-26
4247,1260,2026-06-26
5388,1251,2026-06-26
6518,1951,2026-06-26
2915,2024,2026-06-26
